Observation Order,Exam Code,Course ID,Year,Semester,Course,Subject,Exam,Class Order,ID,Gender,Exam Type,Correct,Wrong,Score
919,S13-ECON122-1-Macro-Final,S13-ECON122-1-Macro,2013,S13,ECON122-1,Macroeconomics,Final,88,2718578,M,A,15,10,60
928,S13-ECON122-1-Macro-Final,S13-ECON122-1-Macro,2013,S13,ECON122-1,Macroeconomics,Final,97,2837576,M,A,16,9,64
931,S13-ECON122-1-Macro-Final,S13-ECON122-1-Macro,2013,S13,ECON122-1,Macroeconomics,Final,100,2836384,M,A,11,14,44
933,S13-ECON122-1-Macro-Final,S13-ECON122-1-Macro,2013,S13,ECON122-1,Macroeconomics,Final,102,2836352,M,A,11,14,44
934,S13-ECON122-1-Macro-Final,S13-ECON122-1-Macro,2013,S13,ECON122-1,Macroeconomics,Final,103,2448040,M,A,16,9,64
936,S13-ECON122-1-Macro-Final,S13-ECON122-1-Macro,2013,S13,ECON122-1,Macroeconomics,Final,105,2895872,F,A,10,15,40
938,S13-ECON122-1-Macro-Final,S13-ECON122-1-Macro,2013,S13,ECON122-1,Macroeconomics,Final,107,2718328,F,A,13,12,52
941,S13-ECON122-1-Macro-Final,S13-ECON122-1-Macro,2013,S13,ECON122-1,Macroeconomics,Final,110,2718344,F,A,13,12,52
942,S13-ECON122-1-Macro-Final,S13-ECON122-1-Macro,2013,S13,ECON122-1,Macroeconomics,Final,111,2836170,F,A,13,12,52
944,S13-ECON122-1-Macro-Final,S13-ECON122-1-Macro,2013,S13,ECON122-1,Macroeconomics,Final,113,2718246,M,A,7,18,28
946,S13-ECON122-1-Macro-Final,S13-ECON122-1-Macro,2013,S13,ECON122-1,Macroeconomics,Final,115,2718214,F,A,15,10,60
947,S13-ECON122-1-Macro-Final,S13-ECON122-1-Macro,2013,S13,ECON122-1,Macroeconomics,Final,116,2718198,M,A,15,10,60
949,S13-ECON122-1-Macro-Final,S13-ECON122-1-Macro,2013,S13,ECON122-1,Macroeconomics,Final,118,2890374,F,A,6,19,24
951,S13-ECON122-1-Macro-Final,S13-ECON122-1-Macro,2013,S13,ECON122-1,Macroeconomics,Final,120,2718114,F,A,12,13,48
953,S13-ECON122-1-Macro-Final,S13-ECON122-1-Macro,2013,S13,ECON122-1,Macroeconomics,Final,122,2836020,F,A,9,16,36
955,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,1,2707278,F,A,16,9,64
956,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,2,2766298,M,A,22,3,88
957,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,3,2766262,M,A,11,14,44
959,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,5,2707210,F,A,11,14,44
960,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,6,2707194,F,A,15,10,60
963,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,9,2707126,F,A,16,9,64
965,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,11,2495562,M,A,13,12,52
967,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,13,2766214,F,A,18,7,72
968,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,14,2766198,F,A,11,14,44
971,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,17,2582850,F,A,18,7,72
972,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,18,2707096,F,A,15,10,60
975,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,21,2495994,F,A,15,10,60
979,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,25,2766080,F,A,19,6,76
980,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,26,2766064,F,A,14,11,56
982,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,28,2766032,F,A,17,8,68
984,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,30,2706996,F,A,9,16,36
989,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,35,2707324,F,A,15,10,60
995,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,41,2641952,F,A,17,8,68
996,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,42,2765936,F,A,19,6,76
997,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,43,2404760,F,A,10,15,40
998,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,44,2582734,F,A,19,6,76
999,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,45,2582718,F,A,17,8,68
1002,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,48,2706944,M,A,17,8,68
1004,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,50,2706912,F,A,15,10,60
1005,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,51,2706928,M,A,17,8,68
1006,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,52,2264710,M,A,15,10,60
1008,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,54,2765886,F,A,6,19,24
1009,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,55,2706846,F,A,14,11,56
1010,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,56,2765786,F,A,13,12,52
1011,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,57,2706830,M,A,7,18,28
1012,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,58,2641738,F,A,11,14,44
1014,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,60,2765738,M,A,15,10,60
1016,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,62,2765672,F,A,16,9,64
1017,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,63,2707424,F,A,20,5,80
1018,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,64,2295748,M,A,7,18,28
1019,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,65,2008316,F,A,17,8,68
1020,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,66,2766526,F,A,12,13,48
1022,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,68,2706798,F,A,20,5,80
1025,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,71,2765620,F,A,9,16,36
1026,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,72,2706762,F,A,14,11,56
1027,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,73,2765604,F,A,18,7,72
1028,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,74,3075422,F,A,16,9,64
1030,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,76,2765520,F,A,15,10,60
1035,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,81,2706680,M,A,20,5,80
1037,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,83,2765474,F,A,17,8,68
1038,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,84,2583792,F,A,19,6,76
1043,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,89,2706616,M,A,15,10,60
1044,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,90,2706580,F,A,20,5,80
1046,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,92,2706548,F,A,15,10,60
1048,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,94,2707308,F,A,14,11,56
1049,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,95,2707294,F,A,13,12,52
1050,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,96,2766344,F,A,19,6,76
1052,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,98,2765390,M,A,21,4,84
1053,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,99,2706482,F,A,15,10,60
1054,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,100,2706466,F,A,6,19,24
1058,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,104,2706450,F,A,8,17,32
1062,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,108,2706366,F,A,9,16,36
1063,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,109,2692276,F,A,15,10,60
1064,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,110,2706350,F,A,17,8,68
1065,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,111,2765240,F,A,17,8,68
1066,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,112,2765224,M,A,11,14,44
1071,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,117,2436226,F,A,13,12,52
1074,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,120,2765140,F,A,18,7,72
1076,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,122,2706318,F,A,18,7,72
1078,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,124,2494688,M,A,5,20,20
1079,S14-ECON210-1-Macro-MT,S14-ECON210-1-Macro,2014,S14,ECON210-1,Macroeconomics,MT,125,2706284,M,A,16,9,64
1083,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,1,2893262,F,A,24,1,96
1084,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,2,2893246,M,A,23,2,92
1086,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,4,2837540,M,A,12,13,48
1087,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,5,2595556,M,A,10,15,40
1090,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,8,2719684,F,A,10,15,40
1094,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,12,2817494,F,A,18,7,72
1095,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,13,3026564,M,A,13,12,52
1098,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,16,2771412,F,A,12,13,48
1099,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,17,2837410,M,A,15,10,60
1100,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,18,2719636,F,A,15,10,60
1101,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,19,2837426,F,A,21,4,84
1105,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,23,2897538,M,A,16,9,64
1107,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,25,2837378,F,A,17,8,68
1108,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,26,2719500,M,A,13,12,52
1109,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,27,2595240,F,A,5,20,20
1110,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,28,2837342,M,A,17,8,68
1111,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,29,2837310,M,A,18,7,72
1115,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,33,2837326,M,A,17,8,68
1116,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,34,1026252,M,A,20,5,80
1117,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,35,2595208,F,A,17,8,68
1120,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,38,2838000,F,A,19,6,76
1122,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,40,2837972,F,A,16,9,64
1126,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,44,2837920,M,A,16,9,64
1127,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,45,2837904,M,A,17,8,68
1131,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,49,2768110,F,A,14,11,56
1133,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,51,3003714,F,A,15,10,60
1134,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,52,3026100,M,A,25,0,100
1135,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,53,2594514,M,A,9,16,36
1136,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,54,2900108,F,A,13,12,52
1139,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,57,2693250,M,A,22,3,88
1140,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,58,2719256,F,A,15,10,60
1143,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,61,3000000,M,A,14,11,56
1144,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,62,2719156,M,A,24,1,96
1146,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,64,3000510,F,A,14,11,56
1149,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,67,2837144,F,A,20,5,80
1151,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,69,2837128,F,A,6,18,24
1153,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,71,2718974,F,A,8,17,32
1159,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,77,2594828,F,A,15,10,60
1165,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,83,3000428,M,A,7,18,28
1171,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,89,2836864,M,A,13,12,52
1172,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,90,2836848,F,A,18,7,72
1174,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,92,2836832,M,A,19,6,76
1175,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,93,2435256,M,A,24,1,96
1176,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,94,2718708,F,A,15,10,60
1180,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,98,2836764,M,A,18,7,72
1181,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,99,3000412,M,A,15,10,60
1182,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,100,2836748,M,A,13,12,52
1183,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,101,2836732,M,A,14,11,56
1185,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,103,2836666,F,A,12,11,48
1186,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,104,2836634,F,A,8,17,32
1188,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,106,2836582,M,A,19,6,76
1189,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,107,2836566,F,A,18,7,72
1192,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,110,3025396,F,A,17,8,68
1193,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,111,2718542,F,A,22,3,88
1197,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,115,2594530,F,A,14,11,56
1199,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,117,2837822,F,A,25,0,100
1201,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,119,2837858,F,A,18,7,72
1203,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,121,2837774,F,A,6,19,24
1204,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,122,2837758,F,A,22,3,88
1205,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,123,3026762,F,A,17,8,68
1206,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,124,2837706,M,A,12,13,48
1207,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,125,2719882,F,A,13,12,52
1209,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,127,2837640,F,A,18,7,72
1211,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,129,2837592,F,A,23,2,92
1213,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,131,2836452,M,A,14,11,56
1214,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,132,2718412,M,A,22,3,88
1215,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,133,2836352,M,A,15,10,60
1216,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,134,2836336,M,A,16,9,64
1219,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,137,2594348,M,A,16,9,64
1225,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,143,2836238,F,A,8,17,32
1226,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,144,2836202,F,A,12,13,48
1227,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,145,2836186,F,A,19,6,76
1228,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,146,2836170,F,A,24,1,96
1229,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,147,2836154,F,A,20,5,80
1232,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,150,2594166,M,A,6,19,24
1235,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,153,2718312,F,A,12,13,48
1236,S14-ECON122-1-Macro-MT,S14-ECON122-1-Macro,2014,S14,ECON122-1,Macroeconomics,MT,154,2836004,F,A,12,13,48
1238,S14-ECON210-1-Micro-Final,S14-ECON210-1-Micro,2014,S14,ECON210-1,Microeconomics,Final,2,2766298,M,A,18,7,72
1241,S14-ECON210-1-Micro-Final,S14-ECON210-1-Micro,2014,S14,ECON210-1,Microeconomics,Final,5,2707194,F,A,12,13,48
1243,S14-ECON210-1-Micro-Final,S14-ECON210-1-Micro,2014,S14,ECON210-1,Microeconomics,Final,7,2707392,F,A,22,3,88
1244,S14-ECON210-1-Micro-Final,S14-ECON210-1-Micro,2014,S14,ECON210-1,Microeconomics,Final,8,2707126,F,A,16,9,64
1245,S14-ECON210-1-Micro-Final,S14-ECON210-1-Micro,2014,S14,ECON210-1,Microeconomics,Final,9,2766246,M,A,8,17,32
1247,S14-ECON210-1-Micro-Final,S14-ECON210-1-Micro,2014,S14,ECON210-1,Microeconomics,Final,11,2707142,F,A,17,8,68
1248,S14-ECON210-1-Micro-Final,S14-ECON210-1-Micro,2014,S14,ECON210-1,Microeconomics,Final,12,2766214,F,A,21,4,84
1249,S14-ECON210-1-Micro-Final,S14-ECON210-1-Micro,2014,S14,ECON210-1,Microeconomics,Final,13,2766198,F,A,14,11,56
1256,S14-ECON210-1-Micro-Final,S14-ECON210-1-Micro,2014,S14,ECON210-1,Microeconomics,Final,20,2495994,F,A,8,17,32
1257,S14-ECON210-1-Micro-Final,S14-ECON210-1-Micro,2014,S14,ECON210-1,Microeconomics,Final,21,2707060,F,A,11,14,44
1258,S14-ECON210-1-Micro-Final,S14-ECON210-1-Micro,2014,S14,ECON210-1,Microeconomics,Final,22,2707044,F,A,17,8,68
1259,S14-ECON210-1-Micro-Final,S14-ECON210-1-Micro,2014,S14,ECON210-1,Microeconomics,Final,23,2642146,F,A,12,13,48
1261,S14-ECON210-1-Micro-Final,S14-ECON210-1-Micro,2014,S14,ECON210-1,Microeconomics,Final,25,2766064,F,A,18,7,72
1263,S14-ECON210-1-Micro-Final,S14-ECON210-1-Micro,2014,S14,ECON210-1,Microeconomics,Final,27,2766032,F,A,19,6,76
1265,S14-ECON210-1-Micro-Final,S14-ECON210-1-Micro,2014,S14,ECON210-1,Microeconomics,Final,29,3103788,F,A,12,13,48
1268,S14-ECON210-1-Micro-Final,S14-ECON210-1-Micro,2014,S14,ECON210-1,Microeconomics,Final,32,2437152,F,A,7,18,28
1271,S14-ECON210-1-Micro-Final,S14-ECON210-1-Micro,2014,S14,ECON210-1,Microeconomics,Final,35,2495896,F,A,10,15,40
1274,S14-ECON210-1-Micro-Final,S14-ECON210-1-Micro,2014,S14,ECON210-1,Microeconomics,Final,38,2641984,F,A,3,22,12
1275,S14-ECON210-1-Micro-Final,S14-ECON210-1-Micro,2014,S14,ECON210-1,Microeconomics,Final,39,2641952,F,A,12,13,48
1276,S14-ECON210-1-Micro-Final,S14-ECON210-1-Micro,2014,S14,ECON210-1,Microeconomics,Final,40,2765936,F,A,17,8,68
1277,S14-ECON210-1-Micro-Final,S14-ECON210-1-Micro,2014,S14,ECON210-1,Microeconomics,Final,41,2582734,F,A,21,4,84
1278,S14-ECON210-1-Micro-Final,S14-ECON210-1-Micro,2014,S14,ECON210-1,Microeconomics,Final,42,2582718,F,A,18,7,72
1280,S14-ECON210-1-Micro-Final,S14-ECON210-1-Micro,2014,S14,ECON210-1,Microeconomics,Final,44,2574268,M,A,18,7,72
1285,S14-ECON210-1-Micro-Final,S14-ECON210-1-Micro,2014,S14,ECON210-1,Microeconomics,Final,49,2765900,F,A,16,9,64
1288,S14-ECON210-1-Micro-Final,S14-ECON210-1-Micro,2014,S14,ECON210-1,Microeconomics,Final,52,2765786,F,A,15,10,60
1291,S14-ECON210-1-Micro-Final,S14-ECON210-1-Micro,2014,S14,ECON210-1,Microeconomics,Final,55,2582552,M,A,15,10,60
1292,S14-ECON210-1-Micro-Final,S14-ECON210-1-Micro,2014,S14,ECON210-1,Microeconomics,Final,56,2765738,M,A,10,15,40
1294,S14-ECON210-1-Micro-Final,S14-ECON210-1-Micro,2014,S14,ECON210-1,Microeconomics,Final,58,2765672,F,A,21,4,84
1296,S14-ECON210-1-Micro-Final,S14-ECON210-1-Micro,2014,S14,ECON210-1,Microeconomics,Final,60,2008316,F,A,5,20,20
1297,S14-ECON210-1-Micro-Final,S14-ECON210-1-Micro,2014,S14,ECON210-1,Microeconomics,Final,61,2766526,F,A,12,13,48
1298,S14-ECON210-1-Micro-Final,S14-ECON210-1-Micro,2014,S14,ECON210-1,Microeconomics,Final,62,2582486,F,A,16,9,64
